"","ClusterHour","slope_Temp","slope_Irrad","intercept","minimum"
"1",100,-3.15342949997386,-2.09571876016141,41.1020535190515,32.0299771213736
"2",101,-2.7767201182084,-2.12664939978287,46.0138568726993,39.9112267344833
"3",102,-2.28975023950119,-2.17734651838564,48.1717804298142,25.2403572828139
"4",103,-2.84799877505609,-3.85234298549627,49.7858231446442,48.1798544772538
"5",104,-2.68107412755489,-2.91528591513634,49.1441076546907,44.4245264977217
"6",105,-2.71468126773834,-1.59378734230995,43.7605299502611,38.9157318919897
"7",106,-3.36694400913062,-1.97511636758367,41.1808487429085,49.5961548457259
"8",107,-2.95382781440272,-0.297986569973237,55.4506135087625,45.7981952386982
"9",108,-2.51179135611337,-0.0387507408249568,60.2168165885515,57.3761077977547
"10",109,-5.94415352316473,-0.102589196316464,148.407245885059,115.121508663542
"11",110,-6.09461653555786,-0.0545943116854313,144.393576291984,106.965073261032
"12",111,-7.85384884751712,-0.036701401674411,131.959046445659,149.57494574283
"13",112,-6.70458242645105,-0.0308173188379778,139.028333898247,64.3280750306113
"14",113,-6.49232459468014,-0.0231620621823141,140.468740802103,97.9747922929167
"15",114,-6.52255307137966,-0.254696696996689,144.548416212201,141.907459512353
"16",115,-6.54297210276127,-0.0763760507106781,139.768148139119,109.042508557439
"17",116,-6.2855744086132,-0.0862980402427291,137.508909685174,89.9467612275457
"18",117,-6.18220103089502,-0.0743441323258039,111.062534949138,94.8273114770351
"19",118,-5.44453188255289,-2.72508913484614,29.7163190107538,73.5758742747237
"20",119,-2.65017779171467,-6.15301971137524,66.7778788357973,72.0608752071857
"21",120,-3.135257616755,-1.02584809691788,61.6706497093259,67.7128522741584
"22",121,-2.6608525239857,-1.14930304053474,63.4718363517642,40.1648199343366
"23",122,-2.95440068840981,-0.995824173092842,37.2869057357311,44.0068977028131
"24",123,-2.64445777143868,-2.05976969371548,42.7774348050324,39.1879274816535
"25",200,-0.600731138267796,-1.08135567350972,11.2277697305875,0.646134834779867
"26",201,-0.29534524679184,-2.30071583390236,6.82660664618015,1.60111150145531
"27",202,-0.483156128965063,-3.13944990626562,10.4680889998821,2.09728984943721
"28",203,-0.357436582364417,-0.829948573302701,8.03712112417773,2.49229131264077
"29",204,-0.480087196744089,-0.225093357538857,9.28123998595505,2.18426684894925
"30",205,-0.752350887244256,-0.0473002952603671,5.49389488990936,2.47596197990059
"31",206,-0.451720744387222,-0.0202174140037035,3.96445579851906,1.50179040657038
"32",207,-0.278998074674965,-0.0371703899982409,7.07333276833272,2.11099000048692
"33",208,-0.698472405433462,-0.00342803789724866,14.8451551492339,3.16557518122718
"34",209,-1.65853530168533,-0.0264285802841187,30.0392998158932,3.11908602714539
"35",210,-1.84441330866737,-0.00353796960956283,26.9784480086284,3.03387986092065
"36",211,-1.06047249505409,-0.00124669580006152,16.0422521552487,2.91102846147558
"37",212,-1.41642175614834,-0.00128164887428284,25.45971994102,2.78800345957279
"38",213,-1.35924626762923,-0.00120802512853386,21.7709577769351,3.31238858003149
"39",214,-0.644953395377139,-0.000951931313089766,15.2324345063145,3.25593455589971
"40",215,-1.32736914216837,-0.00778361559395639,18.7261116015014,2.08507579332826
"41",216,-1.54665114674206,-0.0116523395553309,27.8770734539007,2.75341421073152
"42",217,-1.07255266606808,-0.0434353053569794,22.1565062403679,3.32115724682808
"43",218,-0.775927929275415,-0.0354032998595046,18.5725804018768,1.97217251237404
"44",219,-0.778131567912467,-0.122987624233077,18.9756886260913,2.01383032400481
"45",220,-0.783995553928196,-0.160005669406046,14.3394449815775,1.17690365232792
"46",221,-1.13199905872431,-2.45472359803143,23.2788118724759,2.3172656347386
"47",222,-0.593568757041068,-1.29121534861612,7.97977090487871,1.38425928961198
"48",223,-0.894764540970979,-0.0654990420915747,10.5156183373154,2.5987622808903
"49",300,-3.56684675774113,-3.85338553148351,37.8600269598147,29.0029157659844
"50",301,-2.70211609655064,-0.286893040497592,33.0411707885574,20.5661187920695
"51",302,-2.77294960618019,-2.17665316164494,39.9349241554737,27.6069864332676
"52",303,-2.48381441831589,-2.96962681412697,40.933593839407,30.710401058197
"53",304,-1.73298259749472,-2.33749736656545,40.2334066713793,29.7801625334885
"54",305,-3.68778491020203,-0.771999463438988,17.1631886661053,35.566724717617
"55",306,-1.844826862216,-0.0379725992679596,35.8466851860285,33.8802632391453
"56",307,-4.04756838594289,-0.203203014342536,46.2324835623602,39.9426793134972
"57",308,-3.11926455795765,-2.00198048353195,-2.68291515111923,-1.78925533592701
"58",309,-2.34717386960983,-2.70904386043549,-2.3966271430254,-2.61741070449352
"59",310,-2.08788706362247,-2.04033176600933,-2.05471186339855,-2.06893862783909
"60",311,-1.6625457406044,-2.08301886916161,-2.36764748394489,-2.37365436553955
"61",312,-1.95739473464557,-0.102352076454908,37.3962139833064,45.6084030313937
"62",313,-2.91316447425011,-0.0944950596595369,27.9616252669057,43.7211569636722
"63",314,-1.41202205834723,-0.00433266799212492,42.6249036231921,37.6525308533526
"64",315,-1.56481563766044,-0.00336729305755818,41.6385613462798,35.7800041341507
"65",316,-1.49068538395555,-0.138294483083173,44.4178920523309,38.301553891583
"66",317,-1.43895040704987,-0.0935262385462536,43.1674543780596,37.5797262485354
"67",318,-2.01835545897484,-0.957577928900719,44.7353498488665,36.4984597563744
"68",319,-2.19197766321424,-2.04248508747641,47.790793626197,30.4236942067396
"69",320,-2.02629958093166,-1.98618638515472,45.0639710277319,27.5129369944334
"70",321,-2.82490521370389,-2.73760064733271,49.2396813335795,23.8913732047741
