"","model","mae","rmse","resid_1h","resid_3h","resid_6h"
"1","TOW",8.03210307946977,11.5669748350092,58272.9078415532,147058.853222869,272876.565497492
"2","ClustH",9.26367462439682,18.2109451118115,67207.9593999989,166751.945068633,295410.015760104
"3","ClustH_PRED",7.92636577097951,13.2942234510295,57505.7836684564,146761.553428216,271086.957727004
