"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.666666666666667,1,1,0.96551724137931,1,0.666666666666667,0.8,0.0967741935483871,0.0645161290322581,0.0645161290322581,0.833333333333333
"Class: 2",1,0.975609756097561,0.954545454545454,1,0.954545454545455,1,0.976744186046512,0.338709677419355,0.338709677419355,0.354838709677419,0.98780487804878
"Class: 3",0.5,0.962962962962963,0.666666666666666,0.928571428571429,0.666666666666667,0.5,0.571428571428572,0.129032258064516,0.0645161290322581,0.0967741935483871,0.731481481481481
"Class: 4",1,0.8125,0.608695652173913,1,0.608695652173913,1,0.756756756756757,0.225806451612903,0.225806451612903,0.370967741935484,0.90625
"Class: 5",0.538461538461538,1,1,0.890909090909091,1,0.538461538461538,0.7,0.209677419354839,0.112903225806452,0.112903225806452,0.769230769230769
