"","DATE_hour_week","slope_Temp","slope_Irrad","intercept","minimum"
"1",0,-1.5232217758894,-0.140076175332069,27.4188999682665,3.69521109759808
"2",1,-1.70221498365126,-1.66252078752751,28.0460007564185,3.65545118717704
"3",2,-1.76879115585182,-1.62727558363268,30.3310837820268,6.23508468522414
"4",3,-1.69593605399132,-0.703056797385216,29.7743181437254,2.49638858437538
"5",4,-1.80738415830376,-0.451766169000919,27.6103308473043,3.80800746742225
"6",5,-1.94345810676515,-0.120328089135097,29.0433867313018,4.21083455317092
"7",6,-1.65205628207269,-0.0336235209189547,28.5451185677747,3.02656168983997
"8",7,-2.03716996321248,-0.0340721706410897,39.0667268766763,5.14349876609655
"9",8,-2.07965436577797,-0.0273162424564362,44.9809198379517,4.51863849163055
"10",9,-2.00352667272091,-0.0239689201116562,43.8381430953741,4.22051219642162
"11",10,-1.79536710679531,-0.0207749605178833,45.492475733161,2.08210380375385
"12",11,-1.95177033895138,-0.0190907133068245,42.7579425414667,6.17296057481795
"13",12,-1.94532225451939,-0.00919296752796792,40.2318171604567,3.66790918117611
"14",13,-1.84822869726075,-0.0138305520352895,44.4001509776873,9.56303026919522
"15",14,-1.7278670686906,-0.0255188510227886,43.9021261223122,1.20124173007728
"16",15,-1.70955788344389,-0.0158057409865323,39.6944295840922,3.13230355426228
"17",16,-1.92581540661814,-0.0710599180402862,40.2926164313735,8.94620675466021
"18",17,-2.0270290580005,-0.0334772583787431,42.8137604891371,1.89064617442453
"19",18,-1.97442052731821,-0.0926058879069538,40.5264060510451,3.49593045573354
"20",19,-1.98161552495685,-0.28200979524435,43.0375186991878,7.57469739399202
"21",20,-2.22081466097463,-1.20071294549681,40.9667476374776,7.06488560378626
"22",21,-2.26988471843381,-0.86171946674622,41.6271091951473,6.59123936524611
"23",22,-2.04137714491883,-0.824212686982116,35.7141452048107,7.68550071022468
"24",23,-2.06423693462712,-0.394775636776184,35.7574892321628,7.54903468670627
"25",24,-2.25392178842136,-2.96326044859963,39.2988806196688,5.30618254187341
"26",25,-2.16616128385067,-1.0245712697506,33.8252432197332,6.49416701495647
"27",26,-2.08232454089745,-1.59016076661384,37.9057780170112,7.62869009620437
"28",27,-2.01043191552162,-0.855558335781097,35.0434225201607,7.77155794203281
"29",28,-2.82625690826097,-0.561388642677851,37.8749884888843,3.46771424502078
"30",29,-1.92761177634451,-0.110861066674309,34.6963136889361,2.62588321676363
"31",30,-2.52816332519704,-0.0352623696734184,35.4232839322811,9.17232214892575
"32",31,-2.29074577987194,-0.0394003093242645,51.1132948100567,4.03507375717163
"33",32,-2.41264286637306,-0.0193572193384171,48.8967874795198,7.93135344982147
"34",33,-5.01770548884796,-0.0853235681816776,125.146088664826,2.50477046409188
"35",34,-4.9277378354013,-0.0677373043520671,129.155039756138,8.5055325844434
"36",35,-5.11554051675062,-0.0582765969782979,127.6733244106,3.27878205165227
"37",36,-4.87874213109852,-0.0573685017593415,122.781254985337,5.33186955160838
"38",37,-5.23020642705245,-0.0518767097274899,121.45120146838,10.0532780247709
"39",38,-4.66031490266323,-0.0578046441078186,121.345772877336,9.56003776192665
"40",39,-4.85192170799585,-0.0693544714461551,116.841316888694,5.6229961026048
"41",40,-4.45524217188358,-0.0812613517045975,109.195223763585,5.11346882581711
"42",41,-4.24278824031353,-0.117319822311401,93.8180008232594,8.04213860630989
"43",42,-2.35814988407593,-0.0287596798035608,49.1726402606163,7.18357014531703
"44",43,-2.51377902925014,-0.148619145154953,49.3577392548323,2.18898743391037
"45",44,-2.22028617723223,-1.30936323000933,46.0801368540682,2.70752632258604
"46",45,-2.53264097869396,-1.92201201617718,47.9766451716423,2.54303503036499
